Unnamed: 0,City,Address,Type,Price,Rooms,Build Size,Floor,מזגן,חניה,סורגים,מרוהטת,משופצת,מחסן,מעלית,"ממ""ד",נגישות,מרפסת
83,תל אביב יפו,כביר 33,דירה,4000,2.0,42,0,1,0,1,0,1,0,0,0,1,0
84,תל אביב יפו,תשרי 62,דירה,3800,2.0,35,0,1,1,0,1,0,0,0,0,0,0
85,תל אביב יפו,שקד 52,דירה,4000,3.0,70,3,1,1,1,1,1,0,0,0,0,0
86,תל אביב יפו,נטעים 29,דירה,8500,5.5,120,2,1,1,0,0,1,0,0,0,0,1
87,תל אביב יפו,יהודה עמיחי 7,דירה,10500,4.0,123,6,1,1,0,0,1,1,1,1,1,1
88,תל אביב יפו,שלמה בן יוסף 25,סאבלט,24000,5.0,140,8,1,1,0,1,1,0,1,0,1,1
89,תל אביב יפו,פרישמן 47,יחידת דיור,4100,1.0,22,2,1,0,0,1,1,0,0,0,0,0
90,תל אביב יפו,"מלבי""ם 8",דירה,3500,1.5,31,0,1,0,1,0,0,0,0,0,0,0
91,תל אביב יפו,נחום הנביא 5,דירה,9600,3.0,70,2,1,0,1,0,1,0,0,0,0,0
92,תל אביב יפו,שדרות לוי אשכול 57,דירה,13000,5.0,140,8,1,1,0,0,1,1,1,1,1,1
93,תל אביב יפו,גרציאני יצחק 6,דירה,13000,4.0,112,0,1,1,0,0,1,1,1,1,0,1
94,תל אביב יפו,הגולן 104,דירה,4500,2.0,65,1,1,0,0,0,0,0,0,0,0,1
95,תל אביב יפו,ישראל מסלנט 21,דירה,6600,3.0,70,3,1,0,0,0,1,0,0,0,0,0
96,תל אביב יפו,נחום סוקולוב 14,דירה,4900,1.0,32,2,1,1,0,0,1,0,0,0,0,0
97,תל אביב יפו,בר גיורא 18,דירה,4950,2.5,70,1,1,0,0,1,0,0,0,0,0,1
98,תל אביב יפו,חובות הלבבות 31,סטודיו/לופט,3000,1.0,30,3,1,0,0,1,0,0,0,0,0,0
99,תל אביב יפו,מטולה 2,דירה,11000,3.0,85,0,1,0,0,1,1,0,0,0,0,0
100,תל אביב יפו,המליץ 8,דירה,12000,3.5,70,1,1,1,0,0,0,0,1,1,0,0
101,תל אביב יפו,אשרמן 3,דירה,5400,3.0,60,2,1,0,0,0,1,0,0,0,0,0
102,תל אביב יפו,מוריץ דניאל 38,דירה,8250,4.0,94,6,1,1,0,0,0,0,1,0,0,0
103,תל אביב יפו,חיים בן עטר 11,דירה,4750,1.0,35,2,1,0,0,0,0,0,0,0,0,1
104,תל אביב יפו,בר הופמן 11,גג/פנטהאוז,35000,4.0,236,3,1,1,0,0,1,1,1,0,0,1
105,תל אביב יפו,שונצינו 20,סטודיו/לופט,4000,1.0,40,1,1,0,0,1,1,0,0,0,0,0
106,תל אביב יפו,וולפסון 64,סאבלט,6500,2.0,60,1,1,0,1,1,1,0,1,1,0,1
107,תל אביב יפו,בושם 63,דירה,7500,4.0,100,10,1,1,0,1,1,1,1,1,1,1
108,תל אביב יפו,אבשלום חביב 5,דירה,18000,5.0,140,5,1,1,0,0,0,1,1,1,0,1
109,תל אביב יפו,דרך מנחם בגין 158,דירה,10400,3.0,95,0,1,1,0,0,1,0,1,0,1,1
110,תל אביב יפו,בן סירא 14,דירה,8600,1.0,75,3,1,1,0,1,1,0,1,0,1,0
111,תל אביב יפו,החשמונאים 29,דירה,13800,3.0,80,4,1,1,0,1,0,0,1,1,0,0
112,תל אביב יפו,דיזנגוף 290,דירה,7600,2.5,55,4,1,0,0,1,1,1,0,0,0,0
113,תל אביב יפו,אבן גבירול 190,דירה,6300,2.5,55,1,1,0,0,0,1,0,0,0,0,0
114,תל אביב יפו,דאנטה 8,דירה,0,3.5,80,1,1,0,0,1,1,0,0,0,0,1
115,תל אביב יפו,בושם 72,דירה,5500,3.0,68,5,1,0,1,1,1,0,1,0,1,0
116,תל אביב יפו,פטרסון 5,דירה,4500,1.0,40,2,1,0,0,1,1,0,0,0,0,1
117,תל אביב יפו,יצחק שדה 3,דירה,9200,2.5,70,0,1,1,0,0,0,0,1,1,0,1
118,תל אביב יפו,אבן גבירול 190,דירה,8900,3.0,90,4,1,0,0,0,0,0,1,0,0,0
119,תל אביב יפו,שדרות לוי אשכול 4,דופלקס,0,6.5,250,20,1,1,0,0,1,1,1,1,1,1
120,תל אביב יפו,מצפה 4,דירה,11000,4.0,100,2,1,0,0,0,0,0,0,0,0,1
121,תל אביב יפו,פרופ' שור 5,דירה,6800,2.5,80,1,1,0,0,0,0,0,0,0,0,1
122,תל אביב יפו,שדרות סמאטס 6,דירה,8200,2.5,72,1,1,0,0,1,1,0,1,0,1,1
123,תל אביב יפו,יפת 19,דירה,5800,3.0,75,0,1,0,0,0,1,0,0,0,0,1
124,תל אביב יפו,אלתרמן 14,דירה,6400,3.0,70,1,1,1,1,0,0,0,0,0,0,0
126,תל אביב יפו,וילסון 11,דירה,8500,3.5,65,0,1,0,1,1,1,0,1,0,0,0
127,תל אביב יפו,תל גיבורים 32,דירה,3600,1.0,40,1,1,0,0,0,1,0,0,0,0,0
128,תל אביב יפו,אלנבי 78,דירה,4000,1.0,23,1,1,0,0,0,1,0,0,0,0,0
129,תל אביב יפו,פיליכובסקי 11,דירה,8000,3.0,80,4,1,1,0,0,1,0,1,0,0,0
130,תל אביב יפו,פסטלוצי 36,דירה,4200,1.0,30,1,1,0,1,1,1,0,0,0,0,1
131,תל אביב יפו,דרך נמיר 115,דירה,6100,2.5,63,1,1,0,1,0,0,0,0,0,0,0
132,תל אביב יפו,הגיבור האלמוני 33,גג/פנטהאוז,12000,5.0,240,7,1,1,0,1,0,1,1,1,1,1
133,תל אביב יפו,קדם 4,דירה,4000,1.0,30,0,1,0,1,1,0,0,1,0,0,0
134,תל אביב יפו,גולומב 52,סאבלט,2000,3.0,75,1,1,1,0,0,0,0,0,0,0,0
135,תל אביב יפו,דולצ'ין 16,דירה,10250,4.0,110,1,1,1,1,0,0,1,1,1,0,1
136,תל אביב יפו,דרך מנחם בגין 150,דירה,0,3.0,80,0,1,1,0,1,0,0,1,1,0,0
138,תל אביב יפו,"יעקב שב""י מאור 11",דירת גן,5500,2.0,80,0,1,0,0,1,1,0,0,0,0,0
139,תל אביב יפו,וייצמן 47,דירה,9750,3.0,70,4,1,1,0,0,0,0,1,0,0,0
140,תל אביב יפו,הרצל 110,דירה,7500,2.0,57,4,1,0,0,0,0,0,1,1,1,1
141,תל אביב יפו,שדרות הר ציון 57,דירה,5800,2.5,48,1,1,0,0,0,1,0,0,0,0,1
142,תל אביב יפו,דב ממזריץ' 26,דירה,3100,1.5,35,1,1,0,1,1,1,0,0,0,0,0
143,תל אביב יפו,"מח""ל 89",דירה,5700,4.5,103,3,1,0,0,0,0,0,0,0,0,1
144,תל אביב יפו,דב ממזריץ' 26,דירה,3100,1.5,35,1,1,0,1,1,1,0,0,0,0,0
